run,benchmark,contract,examples,accuracy,macro_f1,safe_recall,unsafe_recall,en_accuracy,vi_accuracy,vi_minus_en,en_vi_agreement,truncated_examples
E1NR,Nemotron,primary-native,6676,0.6906830437387658,0.6492301361833157,0.3784313725490196,0.9549225663716814,0.7962852007189934,0.5850808867585381,-0.21120431396045536,0.7049131216297184,
E1NR,SEA,primary-native,3146,0.6487603305785123,0.6178299484921932,0.3532675709001233,0.963254593175853,0.7933884297520661,0.5041322314049587,-0.2892561983471075,0.6433566433566433,
E2NR,Nemotron,primary-native,6676,0.7688735769922109,0.7676875993695018,0.7607843137254902,0.7757190265486725,0.7786099460754943,0.7591372079089275,-0.019472738166566805,0.8666866387058119,0
E2NR,SEA,primary-native,3146,0.7225047679593134,0.72122688033137,0.7663378545006165,0.6758530183727034,0.7355371900826446,0.7094723458359822,-0.026064844246662444,0.8620470438652257,0
E3NR,Nemotron,full-8K,8056,0.7379592850049652,0.7315898098543294,0.6305630026809651,0.8305594082293112,0.7666335650446872,0.7092850049652433,-0.05734856007944389,0.7991559086395233,0
E3NR,SEA,full-8K,3680,0.7111413043478261,0.7104094372481848,0.7162576687116564,0.7053364269141531,0.7331521739130434,0.6891304347826087,-0.04402173913043472,0.821195652173913,0
E4NR,Nemotron,full-8K,8056,0.7476415094339622,0.7466617095759993,0.7402144772117962,0.7540453074433657,0.7554617676266137,0.7398212512413108,-0.01564051638530284,0.8671797418073486,0
E4NR,SEA,full-8K,3680,0.7146739130434783,0.7123608888227193,0.7566462167689162,0.6670533642691415,0.7260869565217392,0.7032608695652174,-0.022826086956521774,0.8576086956521739,0
E5NR,Nemotron,full-8K,8056,0.7826464746772592,0.7815644165542297,0.7691689008042896,0.7942672214516875,0.7974180734856008,0.7678748758689176,-0.029543197616683226,0.8691658391261172,0
E5NR,SEA,full-8K,3680,0.7334239130434783,0.7300235098693664,0.7955010224948875,0.6629930394431555,0.7451086956521739,0.7217391304347827,-0.023369565217391197,0.8570652173913044,0
E6NR,Nemotron,full-8K,8056,0.781901688182721,0.7807455192519976,0.7659517426273459,0.7956541840036986,0.7961767626613704,0.7676266137040715,-0.028550148957298904,0.8701588877855015,0
E6NR,SEA,full-8K,3680,0.7339673913043478,0.731084889953818,0.7878323108384458,0.6728538283062645,0.7445652173913043,0.7233695652173913,-0.02119565217391306,0.8603260869565217,0
E7NR,Nemotron,full-8K,8056,0.5661618669314796,0.5604417014709722,0.7345844504021448,0.4209431345353675,0.5662859980139027,0.5660377358490566,-0.0002482621648460803,0.7946871896722939,0
E7NR,SEA,full-8K,3680,0.48342391304347826,0.44355849325991725,0.20296523517382414,0.8016241299303944,0.4902173913043478,0.4766304347826087,-0.013586956521739135,0.7418478260869565,0
