model,exact_match,hamming_error,micro_f1,macro_f1,supervised_examples
E5NR,0.44885575589459087,0.04524211541940541,0.3441870629370629,0.1575709951307541,5768
D1,0.5231,0.04017,0.5783,0.4469,5768
D2,0.5173,0.03978,0.582,0.4749,5768
D3,0.508495145631068,0.03919676777422662,0.5663052543786489,0.4850786353831543,5768
