run,examples,accuracy,macro_f1,safe_recall,unsafe_recall,en_accuracy,vi_accuracy,nemotron_accuracy,sea_accuracy,p_accuracy,pr_accuracy,en_vi_agreement
Q1,11736,0.851482617586912,0.8494399076577532,0.7585297221245163,0.9388429752066115,0.8605998636673483,0.8423653715064758,0.8586146971201589,0.8358695652173913,0.8491547464239272,0.8559070687098369,0.9429107021131561
Q2,11736,0.878323108384458,0.8782302996060706,0.8779458318677453,0.8786776859504132,0.8844580777096115,0.8721881390593047,0.8849304865938431,0.8638586956521739,0.871261378413524,0.8917449332674247,0.9383094751192911
D1,11736,0.869546693933197,0.8695391911935147,0.905205768554344,0.8360330578512397,0.8761077027948193,0.8629856850715747,0.8834409136047666,0.8391304347826087,0.8600780234070221,0.8875432525951558,0.9340490797546013
D2,11736,0.8680981595092024,0.8680974087006887,0.8983468167428772,0.8396694214876033,0.8740627130197682,0.8621336059986366,0.8825719960278053,0.8364130434782608,0.85851755526658,0.8863074641621355,
D3,11736,0.8652010906612133,0.865099539481258,0.9212099894477664,0.8125619834710743,0.869972733469666,0.8604294478527608,0.8788480635551142,0.8353260869565218,0.8547464239271781,0.8850716757291152,0.9383094751192911
